2023-05-19 12:05:765 INFO  NewAndUsedCarPage :45 - Select make : [[ChromeDriver: chrome on WINDOWS (caf6cc310b59fb2cb5f46f6d9764e540)] -> xpath: //select[@id='makes']]
2023-05-19 12:05:959 INFO  NewAndUsedCarPage :50 - Select model : [[ChromeDriver: chrome on WINDOWS (caf6cc310b59fb2cb5f46f6d9764e540)] -> xpath: //select[@id='models']]
2023-05-19 12:05:149 INFO  NewAndUsedCarPage :55 - Select location: [[ChromeDriver: chrome on WINDOWS (caf6cc310b59fb2cb5f46f6d9764e540)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:291 INFO  NewAndUsedCarPage :60 - Select location: [[ChromeDriver: chrome on WINDOWS (caf6cc310b59fb2cb5f46f6d9764e540)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:445 INFO  NewAndUsedCarPage :65 - Find My Next Car: [[ChromeDriver: chrome on WINDOWS (caf6cc310b59fb2cb5f46f6d9764e540)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:903 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (15f889456cd19a111ac98757338209c3)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 12:05:86 INFO  Homepage :39 - Click on search cars : [[ChromeDriver: chrome on WINDOWS (15f889456cd19a111ac98757338209c3)] -> xpath: //a[contains(text(),'Search Cars')]]
2023-05-19 12:05:122 INFO  NewAndUsedCarPage :70 - Verify text: [[ChromeDriver: chrome on WINDOWS (15f889456cd19a111ac98757338209c3)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2023-05-19 12:05:725 INFO  NewAndUsedCarPage :45 - Select make : [[ChromeDriver: chrome on WINDOWS (15f889456cd19a111ac98757338209c3)] -> xpath: //select[@id='makes']]
2023-05-19 12:05:851 INFO  NewAndUsedCarPage :50 - Select model : [[ChromeDriver: chrome on WINDOWS (15f889456cd19a111ac98757338209c3)] -> xpath: //select[@id='models']]
2023-05-19 12:05:998 INFO  NewAndUsedCarPage :55 - Select location: [[ChromeDriver: chrome on WINDOWS (15f889456cd19a111ac98757338209c3)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:168 INFO  NewAndUsedCarPage :60 - Select location: [[ChromeDriver: chrome on WINDOWS (15f889456cd19a111ac98757338209c3)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:335 INFO  NewAndUsedCarPage :65 - Find My Next Car: [[ChromeDriver: chrome on WINDOWS (15f889456cd19a111ac98757338209c3)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:949 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (428b2db790208e774832c16a68b1b6a8)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 12:05:464 INFO  Homepage :39 - Click on search cars : [[ChromeDriver: chrome on WINDOWS (428b2db790208e774832c16a68b1b6a8)] -> xpath: //a[contains(text(),'Search Cars')]]
2023-05-19 12:05:131 INFO  NewAndUsedCarPage :70 - Verify text: [[ChromeDriver: chrome on WINDOWS (428b2db790208e774832c16a68b1b6a8)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2023-05-19 12:05:380 INFO  NewAndUsedCarPage :45 - Select make : [[ChromeDriver: chrome on WINDOWS (428b2db790208e774832c16a68b1b6a8)] -> xpath: //select[@id='makes']]
2023-05-19 12:05:507 INFO  NewAndUsedCarPage :50 - Select model : [[ChromeDriver: chrome on WINDOWS (428b2db790208e774832c16a68b1b6a8)] -> xpath: //select[@id='models']]
2023-05-19 12:05:606 INFO  NewAndUsedCarPage :55 - Select location: [[ChromeDriver: chrome on WINDOWS (428b2db790208e774832c16a68b1b6a8)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:698 INFO  NewAndUsedCarPage :60 - Select location: [[ChromeDriver: chrome on WINDOWS (428b2db790208e774832c16a68b1b6a8)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:800 INFO  NewAndUsedCarPage :65 - Find My Next Car: [[ChromeDriver: chrome on WINDOWS (428b2db790208e774832c16a68b1b6a8)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:459 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (7ccdaefe26f805c0accb067e23565d60)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 12:05:447 INFO  Homepage :39 - Click on search cars : [[ChromeDriver: chrome on WINDOWS (7ccdaefe26f805c0accb067e23565d60)] -> xpath: //a[contains(text(),'Search Cars')]]
2023-05-19 12:05:831 INFO  NewAndUsedCarPage :70 - Verify text: [[ChromeDriver: chrome on WINDOWS (7ccdaefe26f805c0accb067e23565d60)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2023-05-19 12:05:180 INFO  NewAndUsedCarPage :45 - Select make : [[ChromeDriver: chrome on WINDOWS (7ccdaefe26f805c0accb067e23565d60)] -> xpath: //select[@id='makes']]
